cz,Name,AllAmericanIndian,AllAll,AllAsian,AllWhite,AllHispanic,AllBlack,HighAmericanIndian,HighAll,HighAsian,HighWhite,HighHispanic,HighBlack,LowAmericanIndian,LowAll,LowAsian,LowWhite,LowHispanic,LowBlack,MediumAmericanIndian,MediumAll,MediumAsian,MediumWhite,MediumHispanic,MediumBlack
cz21004,"Rhinelander, WI",30024.0,32139,33529.0,32652,25895.0,21333.0,42688.0,36000,33613.0,36471,28354.0,28471.0,23001.0,25619,22418.0,26105,24622.0,19769.0,32451.0,30705,27242.0,31014,26475.0,24297.0
cz30801,"Hobbs, NM & TX",29893.0,29080,49064.0,32336,28581.0,23866.0,41638.0,36602,44810.0,37074,35951.0,30587.0,18702.0,25711,39614.0,26596,27753.0,22003.0,29821.0,31039,41786.0,31550,31793.0,26466.0
cz21202,"Redwood Falls, MN",29725.0,36845,33617.0,37523,27857.0,,34986.0,40418,33114.0,41204,36150.0,,5080.0,31862,34520.0,32465,25960.0,,19521.0,36000,33914.0,36545,30983.0,
cz31101,"Victoria, TX",29581.0,31157,46057.0,35554,27362.0,24682.0,30341.0,36846,47069.0,38206,33590.0,33676.0,29777.0,25928,40339.0,29551,25341.0,23164.0,30054.0,31266,43115.0,33622,29430.0,28615.0
cz34114,"Unalaska, AK",29579.0,28034,35348.0,36727,,,30474.0,34099,37168.0,36352,,,29083.0,21022,34902.0,2125,,,29766.0,27478,35872.0,18006,,
cz23600,"Burlington, IA & IL & MO",29515.0,31534,36981.0,32148,31408.0,20503.0,44698.0,36067,41005.0,36397,37332.0,25819.0,19833.0,24352,31231.0,25058,25520.0,18412.0,31716.0,30097,35336.0,30433,31329.0,22255.0
cz6000,"Huntsville, AL & TN",29407.0,27162,41384.0,28518,26882.0,22823.0,34408.0,31342,41818.0,31627,30898.0,29496.0,20720.0,19915,36431.0,20702,22157.0,19484.0,27459.0,25571,38704.0,25934,26507.0,24694.0
cz32702,"Stephenville, TX",29219.0,28493,41004.0,30934,25348.0,27114.0,60033.0,36212,33144.0,36445,30979.0,29974.0,25312.0,24377,50966.0,26468,24899.0,26294.0,39843.0,30179,42559.0,31192,27918.0,28203.0
cz21003,"Ironwood, MI & WI",29176.0,31234,,31792,23389.0,,32597.0,37608,,37927,39666.0,,26678.0,25311,,25896,21916.0,,29584.0,31315,,31574,30625.0,
cz36503,"Lakeview, OR",29034.0,29679,,30622,27377.0,,80678.0,36431,,36597,24539.0,,14676.0,24533,,25749,28178.0,,38209.0,30362,,30886,26375.0,
cz32000,"Houston, TX",28942.0,31089,42569.0,35722,30103.0,24460.0,31770.0,35700,45168.0,36463,35939.0,32163.0,24318.0,25281,38584.0,27140,28109.0,21920.0,27984.0,30391,41319.0,31553,31966.0,27241.0
cz21302,"Owatonna, MN",28939.0,35454,36346.0,36221,24552.0,26375.0,37926.0,38001,37610.0,38369,29923.0,39872.0,25497.0,28004,33720.0,29181,22443.0,23471.0,31544.0,32871,35377.0,33501,26166.0,31858.0
cz7200,"Cape Coral, FL",28886.0,28152,36722.0,30678,26061.0,21326.0,32689.0,33019,39148.0,33668,33588.0,29744.0,24125.0,22769,32321.0,24608,24438.0,20137.0,28337.0,27827,35209.0,28928,28976.0,25137.0
cz13900,"Center, IN",28860.0,28270,33188.0,28969,27191.0,23302.0,31784.0,31305,34282.0,31800,30300.0,26183.0,24936.0,20736,29429.0,21173,24696.0,18404.0,28304.0,25965,31508.0,26261,27479.0,22442.0
cz29401,"Ottawa, KS",28836.0,29098,34381.0,29626,23836.0,22629.0,32563.0,34920,40248.0,35417,31587.0,24892.0,25416.0,23345,26223.0,23750,19547.0,21925.0,28928.0,29042,32145.0,29301,25545.0,23465.0
cz31700,"Corpus Christi, TX",28814.0,29370,36454.0,32819,28599.0,24228.0,37524.0,35467,40402.0,36014,34955.0,33165.0,22626.0,25933,31390.0,26094,26899.0,21583.0,29903.0,30609,35184.0,30796,30878.0,27597.0
cz2300,"Lynchburg, VA",28767.0,28829,37267.0,31223,25746.0,21203.0,27392.0,34034,41455.0,34696,29625.0,30534.0,29883.0,21056,33637.0,22814,22333.0,18397.0,28661.0,27464,36926.0,28481,25962.0,24713.0
cz26412,"Williston, ND",28562.0,38316,,39203,24779.0,,40382.0,42972,,43477,34185.0,,27114.0,33024,,34058,17410.0,,33511.0,37789,,38418,25754.0,
cz4002,"Shreveport, LA",28494.0,26235,32289.0,31163,26067.0,21405.0,33555.0,33630,37175.0,34725,31945.0,30857.0,25149.0,21493,24545.0,24177,22019.0,20647.0,29278.0,27486,29938.0,29200,26956.0,25959.0
cz32601,"Wichita Falls, TX",28380.0,28778,37278.0,30596,25903.0,22787.0,31527.0,34841,39075.0,35365,32215.0,34045.0,25820.0,22709,33889.0,24080,23309.0,20389.0,28627.0,28685,36091.0,29448,27733.0,27480.0
cz30802,"Lubbock, TX",28211.0,27971,39105.0,32391,24361.0,20335.0,29876.0,34691,43496.0,35374,34085.0,30271.0,25756.0,23000,30302.0,26006,22958.0,19744.0,27782.0,28759,35779.0,30453,28481.0,25223.0
cz34502,"Libby, MT",28183.0,28581,,29224,25692.0,,32048.0,34879,,35110,26299.0,,26047.0,25043,,25886,25245.0,,28996.0,29876,,30268,25768.0,
cz20302,"Claremont, NH & VT",28182.0,31795,37126.0,32443,29082.0,30726.0,33521.0,35614,39523.0,36172,30281.0,39063.0,24229.0,24403,32862.0,24962,26763.0,23376.0,28795.0,29907,35680.0,30279,28510.0,31416.0
cz5700,"Tullahoma, TN",28179.0,26595,34796.0,27521,22330.0,22057.0,38281.0,32760,40020.0,33445,25034.0,27958.0,20572.0,20545,28896.0,21141,21103.0,19699.0,29228.0,26585,33584.0,27025,23057.0,23996.0
cz29003,"Dodge City, KS",28142.0,30357,37809.0,33523,26811.0,20971.0,35867.0,36689,44011.0,37371,32753.0,22109.0,19592.0,24421,32445.0,26963,25705.0,19021.0,27592.0,30429,37236.0,31878,29200.0,20620.0
cz30903,"Amarillo, TX",28077.0,28477,32070.0,31423,24966.0,20985.0,38095.0,34371,37431.0,35082,32215.0,29292.0,20644.0,22845,27384.0,24395,23488.0,19539.0,29177.0,28526,31660.0,29479,27823.0,24614.0
cz1702,"Henderson, NC",28074.0,23097,50583.0,28261,22755.0,20147.0,40673.0,33256,61193.0,33431,38092.0,31471.0,25568.0,19432,34075.0,21063,18584.0,19525.0,32854.0,26269,43670.0,26979,28228.0,25741.0
cz3500,"Baton Rouge, LA",28067.0,29769,38749.0,33912,30454.0,23947.0,34703.0,35450,43737.0,36333,34373.0,32835.0,21274.0,23558,33788.0,26113,26282.0,22553.0,27880.0,29404,37924.0,30954,30284.0,27890.0
cz34101,"Sand Point, AK",27999.0,26508,36383.0,20488,,,33488.0,30579,,21786,,,24511.0,24401,34776.0,16619,,,28922.0,27449,37094.0,19066,,
cz33000,"Fort Worth, TX",27979.0,29684,36981.0,32514,27701.0,23290.0,31115.0,33875,40606.0,34478,33823.0,30671.0,23544.0,23146,33557.0,24875,24903.0,20765.0,27272.0,28436,36533.0,29447,29324.0,25919.0
cz33500,"Texarkana, AR & TX",27781.0,26188,40737.0,29088,25363.0,21398.0,37238.0,33709,46277.0,34367,36817.0,29638.0,22761.0,21244,34418.0,22878,23792.0,20443.0,29837.0,27400,39269.0,28360,30215.0,25227.0
cz11500,"Jackson, MI",27766.0,28909,37194.0,29772,25402.0,22050.0,31624.0,32347,37070.0,32875,29198.0,27699.0,21714.0,21254,27911.0,21908,21121.0,19493.0,26600.0,26738,31811.0,27152,25143.0,23762.0
cz31001,"Garden City, KS",27718.0,29781,35896.0,33852,27047.0,19083.0,42935.0,35667,44186.0,36425,34877.0,17273.0,21428.0,23632,30041.0,27634,24534.0,20187.0,31765.0,29545,35890.0,31794,29652.0,18671.0
cz22200,"Cedar Rapids, IA",27675.0,34305,34405.0,35058,28192.0,24390.0,30813.0,36471,34864.0,36970,32252.0,30022.0,23823.0,26325,31227.0,27293,20575.0,21044.0,27264.0,31288,32784.0,31867,26389.0,25715.0
cz4103,"El Dorado, AR",27593.0,26075,37656.0,30145,22429.0,21221.0,21215.0,33614,34892.0,34686,26294.0,30509.0,34865.0,21142,43242.0,23228,20988.0,20338.0,28163.0,27302,39539.0,28691,23628.0,25631.0
cz16200,"Altoona, PA",27360.0,30801,37063.0,31314,23569.0,21127.0,30997.0,37550,37759.0,37926,29282.0,29225.0,27584.0,23633,30434.0,24156,19878.0,19652.0,29262.0,30440,33543.0,30665,24563.0,24633.0
cz31201,"Austin, TX",27314.0,30405,40268.0,34249,27561.0,23548.0,30531.0,34121,42240.0,35222,33250.0,30583.0,20388.0,23517,34998.0,26511,24347.0,20585.0,25395.0,28742,38039.0,30646,28764.0,25788.0
cz22300,"Ottumwa, IA",27304.0,31773,31829.0,32279,25938.0,20644.0,66428.0,36522,32637.0,36869,32227.0,23431.0,21082.0,25351,30361.0,25899,22467.0,19481.0,39159.0,30819,31339.0,31090,27319.0,21528.0
cz14100,"Fort Wayne, IN",27285.0,30134,35175.0,31574,26677.0,21336.0,32674.0,33386,38103.0,33972,30427.0,27379.0,20062.0,21625,28149.0,22872,22975.0,18853.0,26284.0,27433,32374.0,28170,26682.0,23286.0
cz18100,"Elmira, NY & PA",27262.0,30639,36256.0,31221,27220.0,22680.0,30002.0,35585,36858.0,36087,32087.0,28958.0,23762.0,23001,31154.0,23514,23197.0,19558.0,26835.0,29189,33581.0,29489,27614.0,24450.0
cz26410,"Dickinson, ND",27224.0,40694,,41438,22210.0,,32106.0,44813,,45026,40874.0,,23022.0,36197,,37463,13496.0,,27494.0,40299,,40948,26855.0,
cz38000,"San Diego, CA",27099.0,30022,37113.0,33616,28222.0,24472.0,31421.0,34133,39394.0,34777,33433.0,29507.0,21621.0,24490,33998.0,26732,26148.0,21740.0,26454.0,29237,36287.0,30554,29757.0,25779.0
cz17600,"Charlottesville, VA",27062.0,29351,40499.0,31313,27658.0,22444.0,30796.0,33116,44216.0,33605,30001.0,30900.0,17047.0,21643,34120.0,22940,24759.0,19846.0,23825.0,27309,38307.0,28033,27363.0,25599.0
cz20500,"Boston, MA",27011.0,36926,40979.0,38861,28879.0,29432.0,33199.0,38603,43592.0,39211,34246.0,35129.0,20804.0,27665,36796.0,28850,26591.0,26074.0,26914.0,32982,39636.0,33710,30378.0,30747.0
cz10600,"Jasper, AL",26906.0,24631,30327.0,25512,24346.0,21048.0,36088.0,32509,36829.0,32828,31854.0,30838.0,22186.0,19426,24610.0,20041,22482.0,19626.0,29003.0,25899,29831.0,26163,27143.0,25461.0
cz4004,"Many, LA",26851.0,29230,,31968,26275.0,20133.0,24699.0,35973,,36910,34208.0,30071.0,28143.0,25448,,28062,24720.0,19869.0,26453.0,30606,,32243,29420.0,25179.0
cz3901,"Monroe, LA",26811.0,25297,39798.0,29714,21222.0,20295.0,41939.0,33395,43567.0,34454,26146.0,29445.0,15037.0,21213,35626.0,23412,18544.0,20119.0,28051.0,27231,38939.0,28677,22321.0,24972.0
cz22400,"Sheboygan, WI",26684.0,33821,31382.0,34440,28160.0,24575.0,27730.0,36245,33833.0,36542,31402.0,33394.0,25385.0,25855,29885.0,26342,24774.0,20222.0,26539.0,30942,31578.0,31171,28065.0,27067.0
cz27702,"Cheyenne, NE & WY",26658.0,31889,32292.0,32860,29899.0,26419.0,44122.0,35380,31147.0,35787,35061.0,33452.0,15433.0,25954,34611.0,26658,26235.0,23245.0,29211.0,30578,33115.0,30986,30595.0,28538.0
cz28800,"Fort Collins, CO",26652.0,31832,36762.0,33913,26944.0,28966.0,31237.0,34556,37122.0,35408,31688.0,32001.0,23112.0,25309,35392.0,27536,24694.0,25255.0,27114.0,29855,36134.0,31270,28166.0,28752.0
cz20901,"Bridgeport, CT",26628.0,35856,40303.0,38613,28740.0,26681.0,29632.0,37223,41176.0,38362,34447.0,31823.0,20526.0,25643,35017.0,27843,25034.0,23003.0,25020.0,31301,37618.0,32794,29694.0,27581.0
cz25102,"West Plains, AR & MO",26546.0,24027,35046.0,24435,20961.0,14804.0,31165.0,32573,38106.0,32956,29921.0,32725.0,25665.0,21137,25683.0,21538,19306.0,11181.0,28370.0,26790,30967.0,26999,24596.0,22206.0
cz30904,"Pampa, TX",26485.0,30775,36687.0,31940,30570.0,23224.0,31938.0,35161,37063.0,35437,35480.0,27833.0,17445.0,25327,23324.0,25450,28955.0,21868.0,24594.0,30155,29203.0,30192,32172.0,24969.0
cz16901,"Charleston, WV",26448.0,27661,39740.0,28455,25860.0,22743.0,32701.0,32499,37867.0,32962,29812.0,29101.0,22696.0,19860,28760.0,20446,17073.0,19200.0,27622.0,26113,32626.0,26437,23409.0,24352.0
cz38502,"Wenatchee, WA",26379.0,30782,44947.0,32130,28128.0,33654.0,33305.0,34745,46458.0,35017,33592.0,39050.0,21783.0,24344,41923.0,25001,26928.0,24741.0,27457.0,29460,43817.0,29764,30226.0,32065.0
cz19600,"Newark, NJ & NY",26341.0,36944,44824.0,41270,31917.0,27069.0,29707.0,38760,45315.0,40322,36859.0,32260.0,22115.0,27740,39557.0,30891,28960.0,23401.0,25860.0,33094,41955.0,35301,32841.0,27998.0
cz7000,"Miami, FL",26296.0,28716,36843.0,33734,31252.0,23143.0,29608.0,34699,40059.0,35524,37370.0,29916.0,24678.0,25061,33586.0,26831,29010.0,21770.0,27104.0,29799,36324.0,30954,33112.0,26006.0
cz34701,"Honolulu, HI",26213.0,33521,37402.0,32597,29317.0,28241.0,31122.0,36402,39288.0,33782,32450.0,31767.0,18660.0,27026,31811.0,24974,25174.0,24820.0,24812.0,31612,34972.0,29172,28784.0,28423.0
cz33100,"Dallas, TX",26207.0,29735,40634.0,34333,27717.0,23225.0,29897.0,34284,43561.0,35227,33938.0,30949.0,21084.0,22912,36208.0,25673,25293.0,20724.0,25433.0,28518,39279.0,30211,29575.0,26044.0
cz31301,"San Antonio, TX",26165.0,28325,35418.0,33615,26675.0,24769.0,28661.0,34496,38461.0,35713,33553.0,32304.0,23483.0,23874,31834.0,26323,24592.0,21550.0,26033.0,29104,34641.0,30776,29036.0,27138.0
cz38402,"Pullman, ID & WA",26164.0,32654,41501.0,33292,26978.0,30805.0,37972.0,35284,41694.0,35774,33878.0,32311.0,18434.0,26163,41993.0,26908,19166.0,28423.0,28006.0,30637,41865.0,31111,26487.0,30433.0
cz1202,"Sylva, NC",26149.0,25147,,25931,25009.0,21458.0,40907.0,31914,,31976,17396.0,47626.0,23154.0,20924,,21261,26507.0,16637.0,31735.0,26359,,26390,21991.0,32064.0
cz8800,"Savannah, GA & SC",26143.0,26641,37475.0,30733,26889.0,21658.0,40086.0,32020,40683.0,33118,30213.0,28423.0,15876.0,20990,34565.0,22459,23822.0,20260.0,27667.0,26444,37152.0,27552,26998.0,24507.0
cz14400,"Terre Haute, IN",26103.0,28262,39221.0,28787,27695.0,23434.0,38629.0,33270,39440.0,33555,34364.0,29958.0,16515.0,20797,30126.0,21363,19955.0,19932.0,27330.0,26961,34059.0,27192,27119.0,25150.0
cz9600,"LaGrange, AL & GA",26091.0,25321,33925.0,27255,27024.0,21105.0,33242.0,31486,38169.0,32062,32636.0,28339.0,18635.0,19758,29948.0,20305,23124.0,19854.0,25840.0,25562,33433.0,25936,27849.0,24269.0
cz28704,"Laramie, CO & WY",26087.0,32638,41950.0,33344,29758.0,40864.0,18282.0,35069,36543.0,35610,34755.0,40950.0,28691.0,27777,63165.0,28105,25724.0,40786.0,23596.0,31353,49239.0,31662,30189.0,40871.0
cz19100,"Reading, PA",26063.0,32867,38328.0,34313,23741.0,22691.0,29956.0,36421,40599.0,36912,31109.0,30155.0,21095.0,24559,33617.0,26100,21821.0,19035.0,25467.0,30371,36565.0,31215,26445.0,24823.0
cz37602,"Winnemucca, NV",26003.0,31459,,32505,33106.0,,40620.0,34326,,34522,38270.0,,21842.0,25782,,26073,29624.0,,30944.0,29982,,30091,33854.0,
cz37800,"San Francisco, CA",25944.0,35071,42347.0,37645,32771.0,25711.0,29278.0,37200,43954.0,37162,36087.0,30699.0,20297.0,28071,38651.0,27965,28764.0,21557.0,24730.0,32525,40870.0,32308,32369.0,26311.0
cz34102,"Anchorage, AK",25931.0,33026,35940.0,34996,30617.0,27914.0,30672.0,35063,38570.0,36029,34222.0,30832.0,21023.0,26330,33500.0,27983,26766.0,24786.0,25785.0,30615,35654.0,31793,30453.0,27922.0
cz32301,"San Angelo, TX",25925.0,27778,35255.0,31652,24566.0,22524.0,39726.0,34214,35562.0,35410,31886.0,30202.0,14634.0,23203,34720.0,25834,22874.0,20379.0,26831.0,28629,35081.0,30380,27353.0,25491.0
cz34110,"Sitka, AK",25851.0,29787,44889.0,31954,25549.0,,29811.0,31449,45683.0,33405,21769.0,,21028.0,24838,50845.0,25701,35159.0,,25363.0,28098,48527.0,29372,28518.0,
cz22500,"Oshkosh, WI",25822.0,34058,32575.0,34664,28675.0,23507.0,29649.0,36397,36882.0,36742,32383.0,29988.0,20433.0,25329,28785.0,26023,24993.0,18869.0,24982.0,30748,32232.0,31096,28660.0,24656.0
cz24300,"Chicago, IL",25809.0,33003,41545.0,38034,30188.0,22777.0,29520.0,35988,42854.0,37725,34802.0,29228.0,20876.0,23988,36482.0,28314,26735.0,20268.0,25141.0,29876,39155.0,32750,30721.0,24930.0
cz33700,"Ardmore, OK",25803.0,27116,33314.0,28515,26923.0,20697.0,35427.0,35329,29757.0,35713,40168.0,30102.0,21972.0,22964,36197.0,24059,24627.0,19452.0,28580.0,29049,33401.0,29598,32215.0,24996.0
cz23700,"Galesburg, IL",25731.0,30458,39761.0,30992,25783.0,25066.0,19832.0,35876,39360.0,36144,33138.0,34337.0,29914.0,23288,31682.0,23734,20774.0,23160.0,24983.0,29472,34926.0,29629,26926.0,28951.0
cz8503,"Valdosta, GA",25662.0,23628,36536.0,27591,22850.0,18301.0,31603.0,31895,41365.0,32525,29948.0,28794.0,22873.0,19370,33821.0,21449,21425.0,17927.0,27173.0,25568,36996.0,26748,25670.0,23577.0
cz30402,"Tulsa, OK",25653.0,28518,37788.0,30711,26576.0,21793.0,32278.0,33255,39673.0,33917,32153.0,30981.0,21129.0,22260,33838.0,23980,23484.0,20353.0,26627.0,27688,36311.0,28718,27790.0,25883.0
cz35903,"Moab, UT",25645.0,28944,,29875,27834.0,,42933.0,33102,,33482,33316.0,,21945.0,24938,,25987,25334.0,,32024.0,28960,,29557,29291.0,
cz20800,"Springfield, MA",25568.0,33105,35364.0,35379,23229.0,25241.0,34461.0,36711,38140.0,37468,31427.0,32376.0,20156.0,24597,31266.0,26626,21783.0,22125.0,27201.0,30528,34181.0,31746,26583.0,27449.0
cz29403,"Bartlesville, KS & OK",25549.0,28977,43966.0,30108,26193.0,20744.0,32732.0,34441,44076.0,34846,32900.0,29349.0,21104.0,23141,38046.0,24186,22571.0,19226.0,26836.0,28709,40564.0,29261,27704.0,24494.0
cz34108,"Kodiak, AK",25509.0,30400,35182.0,31168,19537.0,25154.0,30784.0,31594,40702.0,31736,19338.0,45007.0,17539.0,28525,33389.0,29541,19384.0,10677.0,24073.0,30035,36475.0,30585,19361.0,27944.0
cz2500,"Newport News, VA",25482.0,29284,38186.0,32585,27789.0,24558.0,28371.0,34342,42101.0,34901,31592.0,33024.0,21981.0,22230,32868.0,23539,24603.0,21663.0,25132.0,28203,36734.0,28951,28073.0,27563.0
cz12402,"Grayling charter, MI",25441.0,27342,24515.0,27799,26285.0,19478.0,30100.0,33000,26098.0,33456,30918.0,27329.0,22679.0,21736,23366.0,22042,23899.0,14679.0,26337.0,27300,24543.0,27497,27387.0,21174.0
cz6100,"Gadsden, AL",25421.0,24551,41289.0,25628,20608.0,21092.0,32379.0,32008,44286.0,32819,21900.0,28588.0,19676.0,19367,35202.0,19832,20207.0,19759.0,25944.0,25623,38973.0,26051,21047.0,24353.0
cz24701,"St. Louis, IL & MO",25380.0,31128,38416.0,34180,29618.0,22073.0,29024.0,34484,39767.0,35396,32398.0,29481.0,20975.0,21929,31682.0,24183,23296.0,20098.0,24946.0,28122,35095.0,29516,27817.0,24980.0
cz12100,"Kalamazoo, MI",25354.0,29303,36508.0,30615,26914.0,21353.0,31640.0,32910,36916.0,33410,31615.0,27976.0,20504.0,20914,30493.0,21790,23118.0,18936.0,25999.0,26844,33227.0,27344,27341.0,23638.0
cz37500,"San Jose, CA",25242.0,33936,42757.0,36967,30398.0,28331.0,27982.0,36188,43755.0,36246,34389.0,31254.0,20699.0,26827,38296.0,27712,26981.0,23231.0,24293.0,31409,40581.0,31752,30644.0,27397.0
cz33901,"Ada, OK",25237.0,26400,20981.0,27807,22538.0,21170.0,37967.0,35849,41130.0,35614,45269.0,29880.0,21609.0,22660,15160.0,23875,21403.0,21151.0,29602.0,29145,26181.0,29457,32852.0,25692.0
cz34115,"Fairbanks, AK",25186.0,32370,33139.0,34477,30724.0,24485.0,30211.0,35099,35713.0,36212,34969.0,29892.0,21793.0,25717,29734.0,27916,24480.0,21049.0,25946.0,30322,32287.0,31843,29670.0,25650.0
cz32100,"Beaumont, TX",25159.0,28896,36289.0,32029,28992.0,23384.0,29177.0,34678,42227.0,35631,35292.0,30752.0,22761.0,23385,33718.0,25040,25429.0,21816.0,25923.0,28945,37284.0,30069,30302.0,26462.0
cz30601,"El Paso, NM & TX",25140.0,26599,34066.0,31397,27619.0,25088.0,34092.0,33917,36795.0,33825,34000.0,30962.0,20658.0,24334,30869.0,25176,26480.0,22087.0,27274.0,29053,33391.0,29297,30200.0,26701.0
cz19400,"New York, NY",25134.0,33675,39209.0,41160,29369.0,27201.0,31544.0,38726,43835.0,41568,35474.0,32891.0,22230.0,27681,36442.0,32383,28070.0,24848.0,26821.0,33048,39524.0,36665,31722.0,29016.0
cz5500,"Columbia, TN",25122.0,26410,30847.0,27531,24665.0,22287.0,31785.0,31022,32857.0,31629,27818.0,28143.0,11859.0,19859,26468.0,20725,18749.0,19504.0,21508.0,25385,29214.0,25947,23263.0,23998.0
cz30000,"Russellville, AR",25101.0,25263,29557.0,26040,24328.0,22333.0,37700.0,32192,32909.0,32551,29395.0,32465.0,20275.0,20788,28258.0,21405,23694.0,20141.0,28807.0,26428,30253.0,26738,26528.0,26549.0
cz16400,"Youngstown, OH & PA",25046.0,29702,38357.0,31189,24111.0,19756.0,33279.0,35914,39167.0,36560,30532.0,27375.0,19894.0,22136,31581.0,23415,20849.0,17789.0,26495.0,28913,34788.0,29656,25673.0,22767.0
cz19500,"Toms River, NJ",24993.0,36482,44607.0,37966,31703.0,26868.0,27055.0,37454,43233.0,38171,34389.0,32208.0,22526.0,26491,35768.0,28161,26080.0,22351.0,24758.0,31841,38888.0,32874,30190.0,27470.0
cz1002,"Morganton, NC",24981.0,24344,31095.0,24894,25549.0,21617.0,37276.0,30994,36294.0,31263,32895.0,30521.0,22108.0,18543,28640.0,18649,23339.0,18827.0,29528.0,24706,31904.0,24693,28085.0,24913.0
cz11401,"Marquette, MI",24970.0,30605,34404.0,31162,28686.0,26281.0,30062.0,34525,37405.0,34830,36656.0,34899.0,21536.0,22970,31589.0,23594,21501.0,20494.0,25743.0,28664,34060.0,28946,28998.0,27966.0
cz23900,"Peoria, IL",24950.0,31277,42597.0,32639,28762.0,20414.0,30242.0,34599,42615.0,35052,34231.0,29455.0,19237.0,22045,36576.0,23375,23704.0,18326.0,24671.0,28235,39114.0,28937,28924.0,24116.0
